"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000034","PUBLISHED","2013","SEAR","AGELT1","MLE","6596378","6596378.00000","","",""
"LIFE_0000000031","PUBLISHED","2013","SEAR","AGE60-64","BTSX","76998.5","76998.55000","","",""
"LIFE_0000000035","PUBLISHED","2013","SEAR","AGE50-54","FMLE","26.7","26.74192","","",""
"LIFE_0000000035","PUBLISHED","2012","SEAR","AGE40-44","MLE","32","32.04441","","",""
"LIFE_0000000035","PUBLISHED","1990","SEAR","AGE95-99","MLE","3.1","3.05743","","",""
"LIFE_0000000035","PUBLISHED","1990","SEAR","AGE30-34","BTSX","39.8","39.81428","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE65-69","BTSX","964129.1","964129.10000","","",""
"LIFE_0000000035","PUBLISHED","2000","SEAR","AGE5-9","FMLE","65.3","65.26301","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE1-4","FMLE","0.003053","0.00305","","",""
"LIFE_0000000035","PUBLISHED","2012","SEAR","AGE90-94","BTSX","4.2","4.20218","","",""
"LIFE_0000000031","PUBLISHED","2000","SEAR","AGE95-99","MLE","1224","1223.97100","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE90-94","FMLE","17541.8","17541.79000","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE80-84","BTSX","201665.3","201665.30000","","",""
"LIFE_0000000034","PUBLISHED","2013","SEAR","AGE15-19","BTSX","5349061","5349061.00000","","",""
"LIFE_0000000032","PUBLISHED","2000","SEAR","AGE90-94","MLE","2822.8","2822.76900","","",""
"LIFE_0000000035","PUBLISHED","2012","SEAR","AGE60-64","BTSX","17.4","17.35125","","",""
"LIFE_0000000034","PUBLISHED","2013","SEAR","AGE55-59","MLE","1584212","1584212.00000","","",""
"LIFE_0000000029","PUBLISHED","2000","SEAR","AGELT1","FMLE","0.062686","0.06269","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE65-69","BTSX","706338.3","706338.30000","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE30-34","MLE","3224597","3224597.00000","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE60-64","MLE","1188885","1188885.00000","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE75-79","MLE","29721.6","29721.56000","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE50-54","MLE","0.065962","0.06596","","",""
"LIFE_0000000034","PUBLISHED","2000","SEAR","AGE85-89","FMLE","78522.5","78522.45000","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGE70-74","FMLE","0.209938","0.20994","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE65-69","MLE","0.210739","0.21074","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE45-49","MLE","77862.3","77862.29000","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGELT1","MLE","0.039765","0.03977","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE100PLUS","MLE","0.355787","0.35579","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGELT1","BTSX","6748945","6748945.00000","","",""
"LIFE_0000000031","PUBLISHED","2013","SEAR","AGE1-4","FMLE","96292.4","96292.37000","","",""
"LIFE_0000000035","PUBLISHED","2012","SEAR","AGE70-74","MLE","10.4","10.42348","","",""
"LIFE_0000000035","PUBLISHED","2013","SEAR","AGE70-74","BTSX","11.2","11.15820","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE1-4","MLE","0.002445","0.00245","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE10-14","BTSX","5795953","5795953.00000","","",""
"LIFE_0000000032","PUBLISHED","1990","SEAR","AGE1-4","FMLE","3922.9","3922.91700","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGE80-84","MLE","93323.8","93323.80000","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGE40-44","FMLE","447672.3","447672.30000","","",""
"LIFE_0000000030","PUBLISHED","2013","SEAR","AGE45-49","MLE","0.034087","0.03409","","",""
"LIFE_0000000033","PUBLISHED","1990","SEAR","AGE35-39","MLE","406163.1","406163.10000","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE40-44","FMLE","0.02309","0.02309","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGE1-4","BTSX","381771.6","381771.60000","","",""
"LIFE_0000000029","PUBLISHED","1990","SEAR","AGE70-74","MLE","0.06927","0.06927","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE80-84","BTSX","20282.2","20282.19000","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE45-49","MLE","2008610","2008610.00000","","",""
"LIFE_0000000035","PUBLISHED","2000","SEAR","AGE80-84","FMLE","6.6","6.57101","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE15-19","MLE","4503197","4503197.00000","","",""
"LIFE_0000000032","PUBLISHED","1990","SEAR","AGE90-94","BTSX","2779.5","2779.46100","","",""
"LIFE_0000000035","PUBLISHED","1990","SEAR","AGE40-44","MLE","29.9","29.93989","","",""
"LIFE_0000000032","PUBLISHED","2013","SEAR","AGE70-74","FMLE","13421.8","13421.83000","","",""
"LIFE_0000000031","PUBLISHED","2013","SEAR","AGE60-64","FMLE","80568.9","80568.92000","","",""
"LIFE_0000000029","PUBLISHED","1990","SEAR","AGE75-79","FMLE","0.088223","0.08822","","",""
"LIFE_0000000035","PUBLISHED","2013","SEAR","AGE65-69","MLE","13.1","13.13614","","",""
"LIFE_0000000031","PUBLISHED","2013","SEAR","AGE100PLUS","MLE","460.4","460.37370","","",""
"LIFE_0000000035","PUBLISHED","1990","SEAR","AGE60-64","FMLE","16.4","16.35039","","",""
"LIFE_0000000031","PUBLISHED","2013","SEAR","AGE20-24","BTSX","93800.4","93800.41000","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGELT1","MLE","97216.4","97216.44000","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE30-34","BTSX","0.01662","0.01662","","",""
"LIFE_0000000034","PUBLISHED","2000","SEAR","AGE1-4","FMLE","6338506","6338506.00000","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE10-14","BTSX","87071.5","87071.51000","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE50-54","BTSX","0.008355","0.00836","","",""
"LIFE_0000000033","PUBLISHED","2000","SEAR","AGE75-79","MLE","134830.2","134830.20000","","",""
"LIFE_0000000029","PUBLISHED","2013","SEAR","AGE45-49","BTSX","0.005543","0.00554","","",""
"LIFE_0000000032","PUBLISHED","2012","SEAR","AGE1-4","MLE","933.7","933.72090","","",""
"LIFE_0000000032","PUBLISHED","2000","SEAR","AGE80-84","MLE","10299","10299.02000","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGE10-14","MLE","0.004069","0.00407","","",""
"LIFE_0000000033","PUBLISHED","2000","SEAR","AGE5-9","FMLE","455139.8","455139.80000","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE95-99","MLE","0.774295","0.77430","","",""
"LIFE_0000000033","PUBLISHED","2013","SEAR","AGE50-54","FMLE","430746.9","430746.90000","","",""
"LIFE_0000000034","PUBLISHED","2013","SEAR","AGE5-9","BTSX","6296716","6296716.00000","","",""
"LIFE_0000000034","PUBLISHED","2013","SEAR","AGE60-64","FMLE","1491794","1491794.00000","","",""
"LIFE_0000000032","PUBLISHED","2000","SEAR","AGE10-14","FMLE","519.3","519.34410","","",""
"LIFE_0000000030","PUBLISHED","2013","SEAR","AGE65-69","FMLE","0.130083","0.13008","","",""
"LIFE_0000000034","PUBLISHED","2013","SEAR","AGE30-34","FMLE","4141951","4141951.00000","","",""
"LIFE_0000000033","PUBLISHED","2013","SEAR","AGE25-29","BTSX","462909","462909.00000","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE50-54","FMLE","75482.1","75482.05000","","",""
"LIFE_0000000035","PUBLISHED","2000","SEAR","AGE35-39","MLE","35","35.03503","","",""
"LIFE_0000000032","PUBLISHED","2013","SEAR","AGE15-19","BTSX","575.8","575.80200","","",""
"LIFE_0000000029","PUBLISHED","2000","SEAR","AGE95-99","MLE","0.298969","0.29897","","",""
"LIFE_0000000030","PUBLISHED","2000","SEAR","AGE40-44","BTSX","0.023793","0.02379","","",""
"LIFE_0000000029","PUBLISHED","2000","SEAR","AGELT1","MLE","0.065319","0.06532","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGE30-34","FMLE","458040.3","458040.30000","","",""
"LIFE_0000000032","PUBLISHED","2012","SEAR","AGE75-79","MLE","14142.8","14142.81000","","",""
"LIFE_0000000030","PUBLISHED","2013","SEAR","AGE35-39","MLE","0.018387","0.01839","","",""
"LIFE_0000000031","PUBLISHED","2012","SEAR","AGE100PLUS","BTSX","607","606.97630","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE70-74","BTSX","45355","45355.05000","","",""
"LIFE_0000000030","PUBLISHED","2000","SEAR","AGE65-69","FMLE","0.151398","0.15140","","",""
"LIFE_0000000035","PUBLISHED","2012","SEAR","AGE80-84","BTSX","6.8","6.76620","","",""
"LIFE_0000000032","PUBLISHED","2013","SEAR","AGE85-89","FMLE","11154.2","11154.23000","","",""
"LIFE_0000000035","PUBLISHED","2012","SEAR","AGE5-9","FMLE","68","68.03020","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE70-74","BTSX","451572.9","451572.90000","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE55-59","MLE","0.096888","0.09689","","",""
"LIFE_0000000032","PUBLISHED","1990","SEAR","AGE80-84","BTSX","10178.1","10178.08000","","",""
"LIFE_0000000029","PUBLISHED","2013","SEAR","AGE75-79","BTSX","0.078319","0.07832","","",""
"LIFE_0000000029","PUBLISHED","2013","SEAR","AGE15-19","FMLE","0.001211","0.00121","","",""
"LIFE_0000000029","PUBLISHED","2013","SEAR","AGE60-64","BTSX","0.021303","0.02130","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGE85-89","MLE","0.582668","0.58267","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE85-89","BTSX","86999.9","86999.88000","","",""
