"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE85-89","BTSX","0.506867","0.50687","","",""
"LIFE_0000000029","PUBLISHED","2012","WPR","AGE35-39","FMLE","0.000955","0.00096","","",""
"LIFE_0000000035","PUBLISHED","2000","WPR","AGE55-59","FMLE","25.2","25.24414","","",""
"LIFE_0000000032","PUBLISHED","2000","WPR","AGE15-19","BTSX","372","371.99750","","",""
"LIFE_0000000032","PUBLISHED","2000","WPR","AGE45-49","BTSX","1679.2","1679.18300","","",""
"LIFE_0000000034","PUBLISHED","2013","WPR","AGE30-34","MLE","4477618","4477618.00000","","",""
"LIFE_0000000030","PUBLISHED","1990","WPR","AGE1-4","FMLE","0.012193","0.01219","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE60-64","FMLE","1823217","1823217.00000","","",""
"LIFE_0000000029","PUBLISHED","1990","WPR","AGE5-9","FMLE","0.000894","0.00089","","",""
"LIFE_0000000032","PUBLISHED","2013","WPR","AGE1-4","FMLE","244.4","244.38080","","",""
"LIFE_0000000035","PUBLISHED","2000","WPR","AGE80-84","MLE","6.4","6.36963","","",""
"LIFE_0000000035","PUBLISHED","2013","WPR","AGE10-14","MLE","65.5","65.52567","","",""
"LIFE_0000000029","PUBLISHED","2000","WPR","AGE60-64","BTSX","0.014686","0.01469","","",""
"LIFE_0000000034","PUBLISHED","2013","WPR","AGE35-39","BTSX","4185871","4185871.00000","","",""
"LIFE_0000000031","PUBLISHED","2013","WPR","AGE45-49","MLE","94814.2","94814.20000","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE5-9","BTSX","6746680","6746680.00000","","",""
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE35-39","MLE","0.00652","0.00652","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE85-89","MLE","87431.5","87431.50000","","",""
"LIFE_0000000030","PUBLISHED","2000","WPR","AGE5-9","MLE","0.003242","0.00324","","",""
"LIFE_0000000034","PUBLISHED","2013","WPR","AGE50-54","BTSX","2749927","2749927.00000","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE95-99","BTSX","3.3","3.28200","","",""
"LIFE_0000000033","PUBLISHED","2013","WPR","AGE35-39","MLE","480553.5","480553.50000","","",""
"LIFE_0000000033","PUBLISHED","1990","WPR","AGE90-94","BTSX","25063.5","25063.52000","","",""
"LIFE_0000000035","PUBLISHED","2013","WPR","AGE30-34","BTSX","48.1","48.05597","","",""
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE65-69","MLE","0.115407","0.11541","","",""
"LIFE_0000000029","PUBLISHED","2013","WPR","AGE55-59","MLE","0.008999","0.00900","","",""
"LIFE_0000000033","PUBLISHED","2000","WPR","AGE25-29","BTSX","473749.8","473749.80000","","",""
"LIFE_0000000033","PUBLISHED","2013","WPR","AGE95-99","FMLE","19534.2","19534.18000","","",""
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE100PLUS","BTSX","1","1.00000","","",""
"LIFE_0000000030","PUBLISHED","1990","WPR","AGE60-64","BTSX","0.082575","0.08258","","",""
"LIFE_0000000030","PUBLISHED","2000","WPR","AGE20-24","MLE","0.006756","0.00676","","",""
"LIFE_0000000030","PUBLISHED","2012","WPR","AGE30-34","FMLE","0.003734","0.00373","","",""
"LIFE_0000000031","PUBLISHED","2013","WPR","AGE95-99","BTSX","4908.2","4908.23800","","",""
"LIFE_0000000033","PUBLISHED","2013","WPR","AGE40-44","BTSX","479264.1","479264.10000","","",""
"LIFE_0000000031","PUBLISHED","2013","WPR","AGE65-69","BTSX","83415.7","83415.66000","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE60-64","MLE","19.1","19.11025","","",""
"LIFE_0000000033","PUBLISHED","2013","WPR","AGE70-74","BTSX","349281.3","349281.30000","","",""
"LIFE_0000000035","PUBLISHED","2000","WPR","AGE15-19","BTSX","60.3","60.28836","","",""
"LIFE_0000000032","PUBLISHED","2013","WPR","AGE60-64","BTSX","5320.8","5320.81400","","",""
"LIFE_0000000033","PUBLISHED","1990","WPR","AGE45-49","FMLE","448677.1","448677.10000","","",""
"LIFE_0000000029","PUBLISHED","2000","WPR","AGE40-44","MLE","0.003195","0.00320","","",""
"LIFE_0000000031","PUBLISHED","2013","WPR","AGE35-39","FMLE","97188.8","97188.79000","","",""
"LIFE_0000000033","PUBLISHED","1990","WPR","AGE55-59","MLE","400112.3","400112.30000","","",""
"LIFE_0000000030","PUBLISHED","1990","WPR","AGE60-64","FMLE","0.064824","0.06482","","",""
"LIFE_0000000034","PUBLISHED","1990","WPR","AGE65-69","MLE","938175.2","938175.20000","","",""
"LIFE_0000000031","PUBLISHED","1990","WPR","AGE55-59","FMLE","86611","86611.02000","","",""
"LIFE_0000000034","PUBLISHED","2012","WPR","AGELT1","MLE","7394025","7394025.00000","","",""
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE1-4","BTSX","0.002594","0.00259","","",""
"LIFE_0000000031","PUBLISHED","2012","WPR","AGE10-14","MLE","98048.1","98048.09000","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE1-4","MLE","393438.7","393438.70000","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE25-29","BTSX","52.8","52.77944","","",""
"LIFE_0000000029","PUBLISHED","1990","WPR","AGE65-69","FMLE","0.021536","0.02154","","",""
"LIFE_0000000029","PUBLISHED","2013","WPR","AGE20-24","BTSX","0.000664","0.00066","","",""
